id_transaccion,id_cliente,fecha_compra,producto,categoria_producto,precio_unitario,cantidad,importe_total,metodo_pago,coste_envio,coste_fabricacion
1,3849,2024-11-02,Powerbank Anker 20000 mAh,Accesorios,118.33,3,354.99,paypal,3.07,40.39
2,2704,2023-09-01,Garmin Forerunner 255,Relojes inteligentes,659.4,2,1318.8,tarjeta,9.53,391.72
3,447,2024-05-24,Huawei Watch GT 4,Relojes inteligentes,150.78,1,150.78,paypal,9.35,72.56
4,790,2023-08-18,Samsung Galaxy S23,Móviles,1199.81,2,2399.62,bizum,12.44,619.11
5,4540,2024-12-12,Powerbank Anker 20000 mAh,Accesorios,175.1,2,350.2,bizum,4.41,38.44
6,564,2023-11-18,Garmin Forerunner 255,Relojes inteligentes,159.26,1,159.26,transferencia,6.68,76.24
7,95,2023-05-19,iPhone 15,Móviles,795.98,3,2387.94,paypal,7.85,458.84
8,2744,2023-07-05,Garmin Forerunner 255,Relojes inteligentes,280.8,4,1123.2,bizum,6.73,141.89
9,3087,2024-03-12,Samsung Galaxy S23,Móviles,594.26,1,594.26,tarjeta,9.11,299.22
10,2660,2023-11-06,Dell XPS 13,Portátiles,1093.4,2,2186.8,paypal,9.01,717.61
11,3375,2024-06-14,Samsung Galaxy Watch 6,Relojes inteligentes,587.65,2,1175.3,tarjeta,7.37,270.63
12,3597,2024-04-18,Auriculares Sony WH-1000XM5,Accesorios,87.16,1,87.16,paypal,9.3,23.05
13,548,2023-09-13,Lenovo ThinkPad X1 Carbon,Portátiles,1758.67,2,3517.34,tarjeta,19.06,1391.56
14,4398,2024-05-06,Samsung Galaxy Watch 6,Relojes inteligentes,424.66,2,849.32,bizum,10.0,214.15
15,777,2023-09-11,Fitbit Versa 4,Relojes inteligentes,615.24,1,615.24,paypal,7.04,334.13
16,4863,2024-09-13,Asus ZenBook 14,Portátiles,1923.96,1,1923.96,tarjeta,20.33,1510.44
17,1997,2023-06-20,Lenovo ThinkPad X1 Carbon,Portátiles,1649.84,1,1649.84,bizum,19.77,1020.65
18,4367,2023-06-20,Apple Watch Series 9,Relojes inteligentes,648.67,1,648.67,tarjeta,10.93,279.97
19,3614,2024-10-11,HP Spectre x360,Portátiles,2480.49,1,2480.49,paypal,18.94,1622.71
20,1419,2024-01-03,Google Pixel 8,Móviles,1005.73,2,2011.46,paypal,12.28,548.02
21,3678,2024-09-15,Huawei Watch GT 4,Relojes inteligentes,551.19,4,2204.76,tarjeta,10.25,264.61
22,2266,2024-03-19,Asus ZenBook 14,Portátiles,1104.66,1,1104.66,bizum,17.83,859.79
23,4980,2023-10-20,Asus ZenBook 14,Portátiles,1534.0,1,1534.0,transferencia,14.46,1146.75
24,323,2023-01-07,Cargador inalámbrico Belkin,Accesorios,286.07,4,1144.28,paypal,7.06,111.77
25,2221,2024-03-26,Lenovo ThinkPad X1 Carbon,Portátiles,2306.94,1,2306.94,bizum,16.01,1753.66
26,1810,2024-08-11,Samsung Galaxy S23,Móviles,720.9,2,1441.8,transferencia,8.02,443.46
27,1037,2024-07-07,Dell XPS 13,Portátiles,1729.79,4,6919.16,transferencia,20.54,1192.33
28,1926,2023-11-11,Asus ZenBook 14,Portátiles,1266.77,2,2533.54,tarjeta,14.4,871.31
29,3372,2024-12-26,Asus ZenBook 14,Portátiles,2075.26,2,4150.52,bizum,16.18,1591.96
30,1404,2024-07-15,Teclado Keychron K6,Accesorios,245.99,3,737.97,paypal,6.86,65.3
31,731,2024-08-10,Ratón Logitech MX Master 3,Accesorios,25.84,2,51.68,tarjeta,6.35,5.76
32,1686,2023-12-05,Auriculares Sony WH-1000XM5,Accesorios,220.45,1,220.45,tarjeta,6.03,80.05
33,1085,2023-12-10,Xiaomi 13,Móviles,993.98,3,2981.94,paypal,11.18,505.33
34,3694,2023-03-14,Fitbit Versa 4,Relojes inteligentes,240.25,1,240.25,tarjeta,5.74,143.27
35,4053,2024-03-14,Cargador inalámbrico Belkin,Accesorios,156.44,3,469.32,bizum,8.8,31.49
36,4945,2024-05-27,Cargador inalámbrico Belkin,Accesorios,145.23,1,145.23,transferencia,4.9,30.31
37,1939,2024-12-04,iPhone 15,Móviles,1083.76,1,1083.76,tarjeta,8.79,624.78
38,3043,2024-04-01,Xiaomi 13,Móviles,783.6,4,3134.4,tarjeta,7.84,428.3
39,3041,2023-08-17,Asus ZenBook 14,Portátiles,1159.13,2,2318.26,paypal,13.76,775.73
40,154,2024-09-03,OnePlus 11,Móviles,987.08,2,1974.16,transferencia,7.92,606.42
41,430,2024-04-21,Auriculares Sony WH-1000XM5,Accesorios,246.28,1,246.28,paypal,4.05,66.49
42,1519,2024-07-17,iPhone 15,Móviles,1335.68,2,2671.36,bizum,9.53,829.76
43,2368,2023-12-20,HP Spectre x360,Portátiles,1813.63,1,1813.63,bizum,19.02,1347.7
44,2941,2023-11-10,Ratón Logitech MX Master 3,Accesorios,189.83,1,189.83,transferencia,8.75,51.58
45,3338,2023-01-15,Ratón Logitech MX Master 3,Accesorios,124.7,1,124.7,transferencia,7.24,40.31
46,3755,2024-07-04,Samsung Galaxy S23,Móviles,329.73,1,329.73,bizum,16.32,205.71
47,594,2024-09-02,Lenovo ThinkPad X1 Carbon,Portátiles,2331.42,4,9325.68,bizum,15.96,1716.02
48,1195,2024-11-27,OnePlus 11,Móviles,1051.91,1,1051.91,tarjeta,6.4,609.07
49,907,2024-10-04,OnePlus 11,Móviles,622.65,4,2490.6,bizum,10.66,415.81
50,3062,2024-07-02,HP Spectre x360,Portátiles,1780.75,2,3561.5,tarjeta,24.17,1347.18
51,3393,2024-07-22,Xiaomi 13,Móviles,646.73,2,1293.46,bizum,15.18,342.6
52,3997,2024-01-22,MacBook Air M2,Portátiles,1435.53,1,1435.53,transferencia,18.3,999.49
53,4211,2024-11-02,Lenovo ThinkPad X1 Carbon,Portátiles,2357.46,1,2357.46,transferencia,18.79,1539.84
54,2783,2023-06-22,Samsung Galaxy S23,Móviles,727.89,4,2911.56,tarjeta,11.59,474.95
55,4123,2023-11-25,Fitbit Versa 4,Relojes inteligentes,487.02,1,487.02,tarjeta,6.43,219.68
56,2866,2024-04-20,Dell XPS 13,Portátiles,1650.71,2,3301.42,paypal,11.41,1252.33
57,1339,2024-12-11,Google Pixel 8,Móviles,414.68,1,414.68,tarjeta,9.31,216.56
58,4709,2023-11-11,Dell XPS 13,Portátiles,1433.68,1,1433.68,paypal,13.42,1041.96
59,1622,2024-03-19,Apple Watch Series 9,Relojes inteligentes,428.23,3,1284.69,bizum,11.45,186.46
60,196,2024-03-13,iPhone 15,Móviles,588.82,1,588.82,bizum,11.2,337.84
61,4276,2024-02-02,Auriculares Sony WH-1000XM5,Accesorios,293.84,1,293.84,transferencia,7.54,112.15
62,302,2024-06-03,Fitbit Versa 4,Relojes inteligentes,389.47,4,1557.88,bizum,6.25,184.09
63,1944,2024-03-22,Teclado Keychron K6,Accesorios,264.68,2,529.36,transferencia,6.6,89.12
64,2418,2024-05-07,MacBook Air M2,Portátiles,1043.81,4,4175.24,paypal,9.31,691.05
65,1776,2024-01-04,Fitbit Versa 4,Relojes inteligentes,585.35,2,1170.7,paypal,8.76,331.64
66,649,2024-10-18,Cargador inalámbrico Belkin,Accesorios,284.06,2,568.12,tarjeta,7.81,108.28
67,85,2024-06-22,MacBook Air M2,Portátiles,905.81,1,905.81,paypal,21.9,580.89
68,1290,2024-10-02,Cargador inalámbrico Belkin,Accesorios,158.19,2,316.38,paypal,3.55,35.49
69,2871,2023-08-15,Cargador inalámbrico Belkin,Accesorios,18.41,3,55.23,paypal,10.72,4.47
70,3530,2023-03-09,Xiaomi 13,Móviles,1326.42,1,1326.42,transferencia,6.22,902.79
71,3811,2024-09-23,Fitbit Versa 4,Relojes inteligentes,572.93,3,1718.79,paypal,9.64,266.72
72,2939,2023-07-16,Auriculares Sony WH-1000XM5,Accesorios,286.89,1,286.89,paypal,7.61,64.15
73,3419,2023-02-25,Google Pixel 8,Móviles,674.51,3,2023.53,transferencia,9.88,388.35
74,2255,2024-01-21,Fitbit Versa 4,Relojes inteligentes,516.79,4,2067.16,transferencia,6.88,265.3
75,140,2024-08-20,Samsung Galaxy Watch 6,Relojes inteligentes,595.68,1,595.68,paypal,9.2,268.56
76,3911,2024-11-11,Asus ZenBook 14,Portátiles,2086.24,2,4172.48,transferencia,10.65,1615.52
77,1259,2023-09-12,Huawei Watch GT 4,Relojes inteligentes,618.34,4,2473.36,bizum,10.81,334.41
78,3503,2024-09-23,Cargador inalámbrico Belkin,Accesorios,281.26,2,562.52,transferencia,4.19,76.91
79,3492,2023-12-17,OnePlus 11,Móviles,1512.71,4,6050.84,tarjeta,5.81,929.11
80,4208,2024-12-27,Xiaomi 13,Móviles,918.26,1,918.26,tarjeta,8.21,520.01
81,3203,2024-12-02,Apple Watch Series 9,Relojes inteligentes,549.86,1,549.86,bizum,7.17,327.61
82,4681,2023-03-09,Garmin Forerunner 255,Relojes inteligentes,240.1,4,960.4,paypal,8.34,114.05
83,4375,2023-04-21,Xiaomi 13,Móviles,1049.56,2,2099.12,bizum,12.56,532.28
84,2645,2024-03-19,Auriculares Sony WH-1000XM5,Accesorios,189.12,4,756.48,bizum,9.58,40.8
85,3111,2024-11-04,Fitbit Versa 4,Relojes inteligentes,504.0,2,1008.0,paypal,9.41,218.01
